address,balance
0x413391be27fa15bed85aa9aff84752591a5f1ef0,4980.000000
0x4f0e2976ecfbdc234103ee36abd01b06444dbde5,4968.015501
0xd84b4436b6aba0fa348c5cf35b4682448e94724a,4958.149024
0xee8c7341045605f8cece16e9126d1f435a8265a7,4950.490504
0x683b8448eedb7f16cdb5444e01e750a20ffb710d,4836.537665
0xa648e658f9a25e99fa61713d6681f5f4384afd58,4811.036088
0x58457c7067cd53ffe99e689c2c0724001bab80ec,4801.150957
0x0aef42b450970737806b0fa44a44688e785bad4e,4796.005823
0xe569a0bbeee7b538c4c6609e6e3f81def94a8bf8,4664.701321
0x524f5612dad002cc8734dafba9612645b70517d7,4600.000000
0xebb3438c1978e1aa8ff59e89a6e4c3b30b6e765b,4520.950453
0x677f2df3e96150e251b21fee4532482f161944ac,4504.376404
0xd6982da59f1d26476e259559508f4135135cf9b8,4457.465400
0xab9510057c6f294199fe9f924e2d933bb2472d57,4450.040000
0xa3ef5af67abe3b7fd6bb5e89b54dfe9e3490d582,4390.160000
0x970aa33c50312ece68f411259844b39636e245e4,4344.824136
0xc7d3522e5246b4ed58a60c73953f3e9ab35a9261,4331.339719
0xfb4fadf4e217471558a58ae9d86988e69c17567e,4322.396539
0x8eb8eecfb2c92ea8289ab7b4b44c58c9a85de2e7,4320.000000
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,4312.739483
0x27c2be836a84d188b28366da1528a044e2604620,4299.280000
0x9aacb457957216f859c2ee0587b6bddf3d4a76e4,4298.182396
0x912d621bc170d1a80588ef198177691ed5227493,4256.710000
0xc863a985e04a92336b6b26cbcfff533e4a0acf0d,4252.583657
0x4ca3934b8b72f86e20486420f741b09e8d036d7b,4243.732135
0x33eb92b436f62e11bfadc015ddf4e79eeb04d4ec,4197.430000
0xb3a6accae8c8d20bdba7303e33b160e69b659364,4148.970000
0x283e74aac9292b270c593305bc571d2aec874c86,4144.134802
0xbf63cd120c315fac9958d1c93ee915ec76ded262,4100.299904
0xea3d9b4743e20ce41777149a16e4ec97185d1487,4099.808478
0xee61c60a5f2d886dcfa75aeae4e5c12365a193a0,4098.065931
0x0e1158a5b3729a5ed03efeaa51df11e8024be81b,4086.000000
0x13ccb6e28f22e2f6783badedce32cc74583a3647,4081.113862
0x3113fbf3fc5f25ead06d57042e4acbe031e9c12d,4059.660682
0x59861265f201088607e691dc3e4e317197cc99d7,4054.000000
